title,time_played,date
Skyrim,5:10,5/19/2018
Axiom Verge,0:10,5/19/2018
Skyrim,4:25,5/20/2018
Hyrule Warriors,2:30,5/20/2018
Donkey Kong Country Tropical Freeze,0:25,5/20/2018
Skyrim,0:45,5/21/2018
Donkey Kong Country Tropical Freeze,0:20,5/21/2018
Megaman Legacy Collection,3:25,5/22/2018
Hyrule Warriors,0:05,5/22/2018
Megaman Legacy Collection,1:40,5/23/2018
Bloodstained Curse of the Moon,1:25,5/24/2018
Megaman Legacy Collection,0:40,5/24/2018
Sine Mora EX,1:10,5/25/2018
Bloodstained Curse of the Moon,0:55,5/25/2018
Hyrule Warriors,0:40,5/25/2018
Donkey Kong Country Tropical Freeze,0:15,5/25/2018
N++,0:05,5/25/2018
Hyrule Warriors,1:05,5/26/2018
Megaman Legacy Collection,1:25,5/27/2018
Skyrim,1:20,5/27/2018
Megaman Legacy Collection 2,0:55,5/27/2018
N++,0:55,5/27/2018
Sine Mora EX,0:20,5/27/2018
Hyrule Warriors,0:15,5/27/2018
Hyrule Warriors,1:40,5/28/2018
Sine Mora EX,1:35,5/28/2018
N++,1:25,5/28/2018
Megaman Legacy Collection 2,0:10,5/28/2018
Sushi Striker,0:05,5/28/2018
Street Fighter 30th Anniversary Collection,1:25,5/29/2018
Pokemon Quest,0:50,5/29/2018
Megaman Legacy Collection 2,0:55,5/30/2018
Kirby Star Allies,0:35,5/30/2018
Pokemon Quest,0:15,5/30/2018
Megaman Legacy Collection 2,1:45,5/31/2018
Night in the Woods,0:50,5/31/2018
Night in the Woods,2:25,6/1/2018
Street Fighter 30th Anniversary Collection,1:10,6/1/2018
Hyrule Warriors,0:50,6/1/2018
Mario Tennis Aces,0:25,6/1/2018
Skyrim,6:05,6/2/2018
Donkey Kong Country Tropical Freeze,2:30,6/2/2018
Megaman Legacy Collection 2,2:05,6/2/2018
Hyrule Warriors,1:30,6/2/2018
Golf Story,0:30,6/2/2018
Night in the Woods,0:20,6/2/2018
Kirby Star Allies,0:15,6/2/2018
Megaman Legacy Collection 2,1:50,6/3/2018
Street Fighter 30th Anniversary Collection,1:10,6/3/2018
Rayman Legends,0:35,6/3/2018
Megaman Legacy Collection 2,0:10,6/4/2018
The Flame in the Flood,0:50,6/5/2018
Blazblue Cross Tag Battle,0:40,6/5/2018
Blazblue Cross Tag Battle,3:10,6/6/2018
Street Fighter 30th Anniversary Collection,0:35,6/6/2018
Shovel Knight,0:10,6/6/2018
Blazing Star,0:05,6/6/2018
The King of Fighters '98,0:25,6/6/2018
Megaman Legacy Collection 2,1:05,6/7/2018
Blazblue Cross Tag Battle,1:00,6/7/2018
Hyrule Warriors,0:20,6/7/2018
Blazblue Cross Tag Battle,0:55,6/8/2018
Skyrim,0:10,6/8/2018
N++,0:05,6/8/2018
Skyrim,5:20,6/9/2018
Blazblue Cross Tag Battle,1:30,6/9/2018
Hyrule Warriors,1:05,6/9/2018
Megaman Legacy Collection 2,1:05,6/9/2018
Hyrule Warriors,3:35,6/10/2018
Blazblue Cross Tag Battle,1:05,6/10/2018
Gonner,0:10,6/10/18
Fallout Shelter,0:40,6/11/2018
Blazblue Cross Tag Battle,0:10,6/11/2018
Hollow Knight,2:10,6/12/2018
Fortnite,1:15,6/12/2018
Hollow Knight,3:00,6/13/2018
Splatoon 2,1:05,6/13/2018
Hollow Knight,2:00,6/14/2018
Octopath Traveler,0:15,6/14/2018
Xenoblade Chronicles 2,0:55,6/15/2018
Hollow Knight,0:15,6/15/2018
Octopath Traveler,0:05,6/15/2018
Hollow Knight,3:55,6/16/2018
Xenoblade Chronicles 2,1:10,6/16/2018
Hollow Knight,1:55,6/17/2018
Crawl,0:55,6/17/2018
Hollow Knight,1:55,6/18/2018
Blazblue Cross Tag Battle,1:35,6/19/2018
Blazblue Cross Tag Battle,2:35,6/20/2018
Minecraft,1:20,6/21/2018
Blazblue Cross Tag Battle,0:25,6/21/2018
Hollow Knight,1:50,6/22/2018
Xenoblade Chronicles 2,1:40,6/22/2018
Mario Tennis Aces,0:40,6/22/2018
Blazblue Cross Tag Battle,0:20,6/22/2018
Owlboy,0:15,6/22/2018
Octopath Traveler,0:15,6/22/2018
Lost Sphear,0:05,6/22/2018
Blazblue Cross Tag Battle,1:15,6/23/2018
Lost Sphear,0:55,6/23/2018
Hollow Knight,0:40,6/23/2018
Owlboy,0:25,6/23/2018
Mario Tennis Aces,0:15,6/23/2018
Megaman Legacy Collection 2,0:05,6/23/2018
Hollow Knight,6:35,6/24/2018
Megaman Legacy Collection 2,0:40,6/24/2018
Fortnite,0:50,6/25/2018
Hollow Knight,0:35,6/25/2018
Mario Kart 8 Deluxe,0:15,6/25/2018
Lumines,0:35,6/26/2018
Hollow Knight,0:25,6/26/2018
Hollow Knight,1:00,6/27/2018
Just Shapes & Beats,0:15,6/27/2018
Hollow Knight,0:20,6/28/2018
Mario Tennis Aces,0:10,6/28/2018
Just Shapes & Beats,0:05,6/28/2018
Kirby Star Allies,0:20,6/29/2018
Just Shapes & Beats,0:15,6/29/2018
Snipperclips,0:10,6/29/2018
Hollow Knight,0:05,6/29/2018
Mario Kart 8 Deluxe,0:05,6/29/2018
Mario Tennis Aces,0:05,6/29/2018
Mario Odyssey,0:05,6/29/2018
Monster Hunter Generations,0:28,5/19/2018
Monster Hunter Generations,0:13,5/23/2018
Mario & Luigi: Superstar Saga,0:47,5/25/2018
Monster Hunter Generations,0:01,5/25/2018
Mario & Luigi: Superstar Saga,1:33,5/26/2018
Mario & Luigi: Superstar Saga,1:01,5/27/2018
Mario & Luigi: Superstar Saga,0:01,5/28/2018
Mario & Luigi: Superstar Saga,0:59,6/2/2018
Mario & Luigi: Superstar Saga,2:12,6/3/2018
Mario & Luigi: Superstar Saga,0:39,6/8/2018
Mario & Luigi: Superstar Saga,0:50,6/10/2018
Mario & Luigi: Superstar Saga,0:05,6/15/2018
Mario & Luigi: Superstar Saga,0:01,6/28/2018
Mario & Luigi: Superstar Saga,2:19,6/29/2018
Wolfenstein II: The New Colussus,4:20,6/30/2018
Megaman Legacy Collection 2,2:25,6/30/2018
Fortnite,1:10,6/30/2018
Blazblue Cross Tag Battle,0:45,6/30/2018
Hollow Knight,0:30,6/30/2018
Mario & Luigi: Superstar Saga,0:16,6/30/2018
Megaman Legacy Collection 2,0:30,7/1/2018
Hollow Knight,0:15,7/1/2018
Mario & Luigi: Superstar Saga,2:26,7/1/2018
Wolfenstein II: The New Colussus,0:25,7/2/2018
Mario & Luigi: Superstar Saga,1:06,7/2/2018
Blazblue Cross Tag Battle,1:20,7/3/2018
Wolfenstein II: The New Colussus,0:25,7/3/2018
Megaman Legacy Collection 2,0:20,7/3/2018
Street Fighter 30th Anniversary Collection,0:05,7/3/2018
Mario & Luigi: Superstar Saga,1:38,7/3/2018
Blazblue Cross Tag Battle,0:30,7/4/2018
Wolfenstein II: The New Colussus,1:15,7/5/18
Just Shapes & Beats,0:35,7/5/18
Blazblue Cross Tag Battle,0:25,7/5/18
Lumines,0:20,7/5/18
Mario & Luigi: Superstar Saga,0:51,7/4/18
Wolfenstein II: The New Colussus,0:35,7/6/18
Monster Hunter World,1:24,7/8/18
Megaman Legacy Collection 2,0:55,7/7/18
Pocket Rumble,0:35,7/7/18
Just Shapes & Beats,0:35,7/7/18
Blazblue Cross Tag Battle,0:05,7/7/18
Mario & Luigi: Superstar Saga,0:08,7/7/18
Mario & Luigi: Superstar Saga,1:26,7/8/18
Megaman Legacy Collection 2,2:05,7/8/18
Octopath Traveler,0:35,7/8/18
Wolfenstein II: The New Colussus,0:30,7/8/18
Whip! Whip!,0:10,7/8/18
Megaman Legacy Collection 2,2:00,7/9/18
Octopath Traveler,0:15,7/10/18
Just Shapes & Beats,0:35,7/11/18
Slime-San,0:25,7/11/18
Octopath Traveler,1:10,7/12/18
Octopath Traveler,0:40,7/12/18
Slime-San,0:25,7/12/18
Street Fighter 30th Anniversary Collection,0:05,7/12/18
Octopath Traveler,2:45,7/13/18
Pocket Rumble,0:15,7/13/18
Blazblue Cross Tag Battle,0:10,7/13/18
Octopath Traveler,5:40,7/14/18
Octopath Traveler,5:35,7/15/18
Hollow Knight,0:20,7/15/18
Flint Hook,0:15,7/15/18
Slime-San,0:15,7/15/18
Octopath Traveler,2:00,7/16/18
Octopath Traveler,1:40,7/17/18
